interest_rate,late_fee,annual_fee,billing_cycle,min_payment,disclosure,label
29,791,3827,42,12,1,1
13,893,2017,31,17,1,1
19,920,1863,26,17,1,1
54,610,4194,18,18,0,0
16,1431,1980,15,17,1,0
35,1574,9901,20,15,1,0
25,817,1067,24,7,0,0
38,418,1765,40,9,1,1
37,155,1837,34,16,1,1
33,453,4142,33,19,1,1
16,117,2515,28,11,1,1
32,1729,4083,19,3,0,0
27,227,2481,25,14,1,1
42,892,1900,37,16,1,0
34,770,9261,44,3,0,0
14,198,1221,42,7,1,1
48,153,193,16,13,1,0
32,247,3450,25,14,1,1
20,1792,9873,40,7,1,0
55,660,5243,18,6,1,0
40,1507,4312,45,14,0,0
60,1095,2421,45,11,1,0
26,149,4910,37,16,1,1
30,136,3958,40,12,1,1
56,1949,5495,26,2,0,0
11,1312,2934,18,20,0,0
33,1308,1411,20,2,1,0
30,923,23,44,13,1,1
23,1594,4089,35,7,0,0
50,699,1908,28,12,1,0
30,602,786,34,13,1,1
13,347,994,40,13,1,1
32,520,4460,26,20,1,1
31,1517,2035,23,7,0,0
10,1949,1292,37,6,0,0
31,780,939,44,10,1,1
33,137,4948,28,10,1,1
39,254,2040,31,5,1,1
23,161,2807,40,10,1,1
25,1158,9339,16,11,1,0
39,1231,6585,37,13,0,0
51,332,802,31,5,1,0
27,693,2267,34,5,1,1
45,1351,8191,22,10,1,0
12,887,403,45,10,1,1
12,523,3575,42,7,1,1
23,690,4126,32,7,1,1
40,1619,1782,32,2,1,0
44,1932,7212,16,1,1,0
26,314,3633,43,8,1,1
49,1095,6399,25,16,0,0
25,271,3119,44,17,1,1
22,1565,8694,22,1,1,0
23,1257,9332,37,10,1,0
46,302,2269,31,20,0,0
27,1281,7704,20,15,1,0
18,581,1124,32,9,1,1
24,251,2852,15,5,0,0
20,757,3071,33,17,1,1
12,630,366,35,20,1,1
21,1620,7980,28,15,1,0
19,730,3303,45,16,1,1
27,128,4486,30,16,1,1
16,1527,7237,32,2,1,0
24,438,4226,43,13,1,1
22,124,6096,39,2,0,0
56,888,2989,15,8,0,0
17,994,6994,33,2,0,0
51,1364,165,35,9,1,0
28,404,4417,24,14,0,0
29,284,8241,23,9,1,0
22,348,4097,40,9,1,1
46,199,2835,26,20,0,0
34,425,1111,27,18,1,1
31,642,3584,38,8,1,1
31,929,547,32,6,1,1
55,1582,5560,27,12,0,0
36,366,1897,43,20,1,1
10,876,2518,44,11,1,1
25,711,2191,28,17,1,1
32,513,2734,28,12,1,1
21,183,1648,28,16,1,1
24,533,3404,29,19,1,1
31,156,606,31,5,1,1
22,984,3549,37,5,1,1
21,202,909,42,7,1,1
26,560,2400,32,7,1,1
11,912,4451,45,11,1,1
32,536,2905,44,9,1,1
58,1945,5691,31,19,0,0
10,1937,8230,25,8,0,0
16,321,86,44,17,1,1
58,856,906,40,19,0,0
27,989,4374,45,16,1,1
57,769,8875,36,12,1,0
55,741,6143,43,15,1,0
39,810,2405,34,8,1,1
43,1142,1641,31,2,1,0
16,615,6945,25,6,0,0
39,800,3646,40,10,1,1
24,645,3071,29,10,1,1
11,783,4903,38,15,1,1
28,504,2259,39,6,1,1
20,1785,5125,23,13,1,0
23,466,3918,25,10,1,1
52,1904,5053,26,5,1,0
36,1340,8103,26,12,1,0
14,822,1203,43,8,1,1
42,1043,3490,21,19,0,0
17,972,2413,42,14,1,1
21,1223,3993,15,16,0,0
29,641,663,44,12,1,1
38,542,4888,27,20,1,1
22,318,1260,34,9,1,1
20,416,1932,35,14,1,1
13,1093,1775,26,14,0,0
19,653,2386,40,17,1,1
58,1189,2107,26,12,0,0
29,352,1842,43,20,1,1
32,1908,5976,33,20,0,0
36,729,1118,34,8,1,1
15,1113,1648,17,16,0,0
24,1727,8299,29,5,1,0
40,259,2231,25,11,1,1
34,631,1152,25,12,1,1
40,1535,5323,37,7,1,0
50,1546,8720,24,1,1,0
31,840,3131,37,20,1,1
13,1033,3610,41,12,0,0
28,926,3368,26,13,1,1
34,419,2241,37,16,1,1
39,472,337,25,18,1,1
37,773,901,28,15,1,1
27,307,2011,45,9,1,1
38,954,2128,27,16,1,1
56,1726,5629,42,10,0,0
22,706,1341,34,13,1,1
27,113,3571,25,20,1,1
51,1205,2479,22,9,1,0
35,1522,5423,24,11,1,0
37,1688,6648,31,19,0,0
54,1832,6198,19,11,0,0
23,915,1594,40,19,1,1
29,494,5981,16,6,1,0
29,523,3343,36,11,1,1
32,449,3061,26,4,0,0
39,524,178,44,6,1,1
37,298,1697,39,7,1,1
19,743,2019,42,3,0,0
38,1237,9636,22,16,1,0
16,539,380,44,10,1,1
30,958,4917,38,14,1,1
46,876,9375,19,15,1,0
30,1590,4734,23,13,1,0
46,646,4890,19,14,1,0
19,437,2477,23,13,0,0
12,633,3346,37,11,1,1
13,842,3570,45,7,1,1
11,1484,9094,27,12,1,0
44,569,9664,16,18,1,0
14,775,8603,33,2,1,0
11,1439,7746,37,20,0,0
47,720,214,30,17,1,0
24,1375,4202,18,3,1,0
10,678,8055,28,3,1,0
12,106,2734,38,18,1,1
10,454,1011,33,19,1,1
20,125,7382,20,20,1,0
12,729,1268,40,20,1,1
46,673,3162,26,12,1,0
16,563,264,34,18,1,1
15,375,3518,43,14,1,1
27,606,593,31,11,1,1
42,683,2854,35,9,0,0
16,107,4996,32,9,1,1
26,540,4103,38,11,1,1
44,1175,21,29,11,0,0
13,210,5015,42,2,0,0
52,372,6660,22,14,1,0
24,229,1406,31,8,1,1
46,1577,7401,29,17,0,0
33,986,4051,31,10,1,1
58,826,4196,44,2,1,0
55,430,6695,36,1,0,0
19,583,994,35,12,1,1
43,963,4195,38,14,0,0
12,414,4648,41,7,1,1
20,1998,3684,35,1,1,0
47,259,7626,40,8,0,0
56,381,9153,40,3,1,0
20,784,8207,33,9,0,0
